Visa (debit)         	4000056655665556	
Visa	                4242424242424242	
Mastercard	            5555555555554444	
Mastercard (2-series)	2223003122003222	
Mastercard (debit)   	5200828282828210	
Mastercard (prepaid)	5105105105105100	
American Express	    378282246310005	
American Express	    371449635398431	
Discover	            6011111111111117	
Discover	            6011000990139424	
Diners Club	            3056930009020004	
Diners Club (14-digit card)	36227206271667	
JCB	                    3566002020360505	
UnionPay             	6200000000000005	
